,Country,Year,Happiness Rank,Happiness Score
78,China,2017,79,5.2729997634887695
79,Pakistan,2017,80,5.26900005340576
80,Indonesia,2017,81,5.26200008392334
81,Venezuela,2017,82,5.25
82,Montenegro,2017,83,5.23699998855591
83,Morocco,2017,84,5.2350001335144
84,Azerbaijan,2017,85,5.234000205993651
85,Dominican Republic,2017,86,5.230000019073491
86,Greece,2017,87,5.2270002365112305
87,Lebanon,2017,88,5.22499990463257
88,Portugal,2017,89,5.19500017166138
89,Bosnia and Herzegovina,2017,90,5.18200016021729
90,Honduras,2017,91,5.1810002326965305
91,Macedonia,2017,92,5.175000190734861
92,Somalia,2017,93,5.151000022888179
93,Vietnam,2017,94,5.07399988174438
94,Nigeria,2017,95,5.07399988174438
95,Tajikistan,2017,96,5.04099988937378
96,Bhutan,2017,97,5.01100015640259
97,Kyrgyzstan,2017,98,5.0040001869201705
98,Nepal,2017,99,4.961999893188481
99,Mongolia,2017,100,4.95499992370605
100,South Africa,2017,101,4.8289999961853
101,Tunisia,2017,102,4.80499982833862
102,Palestinian Territories,2017,103,4.77500009536743
103,Egypt,2017,104,4.7350001335144
104,Bulgaria,2017,105,4.71400022506714
105,Sierra Leone,2017,106,4.70900011062622
106,Cameroon,2017,107,4.69500017166138
107,Iran,2017,108,4.69199991226196
108,Albania,2017,109,4.64400005340576
109,Bangladesh,2017,110,4.60799980163574
110,Namibia,2017,111,4.57399988174438
111,Kenya,2017,112,4.55299997329712
112,Mozambique,2017,113,4.550000190734861
113,Myanmar,2017,114,4.54500007629395
114,Senegal,2017,115,4.53499984741211
115,Zambia,2017,116,4.513999938964839
116,Iraq,2017,117,4.49700021743774
117,Gabon,2017,118,4.46500015258789
118,Ethiopia,2017,119,4.46000003814697
119,Sri Lanka,2017,120,4.44000005722046
120,Armenia,2017,121,4.37599992752075
121,India,2017,122,4.31500005722046
122,Mauritania,2017,123,4.29199981689453
123,Congo (Brazzaville),2017,124,4.29099988937378
124,Georgia,2017,125,4.28599977493286
125,Congo (Kinshasa),2017,126,4.2800002098083505
126,Mali,2017,127,4.19000005722046
127,Ivory Coast,2017,128,4.17999982833862
128,Cambodia,2017,129,4.1680002212524405
129,Sudan,2017,130,4.138999938964839
130,Ghana,2017,131,4.11999988555908
131,Ukraine,2017,132,4.09600019454956
132,Uganda,2017,133,4.08099985122681
133,Burkina Faso,2017,134,4.03200006484985
134,Niger,2017,135,4.02799987792969
135,Malawi,2017,136,3.97000002861023
136,Chad,2017,137,3.9360001087188703
137,Zimbabwe,2017,138,3.875
138,Lesotho,2017,139,3.80800008773804
139,Angola,2017,140,3.79500007629395
140,Afghanistan,2017,141,3.7939999103546103
141,Botswana,2017,142,3.7660000324249303
142,Benin,2017,143,3.65700006484985
143,Madagascar,2017,144,3.64400005340576
144,Haiti,2017,145,3.6029999256133998
145,Yemen,2017,146,3.59299993515015
146,South Sudan,2017,147,3.5910000801086404
147,Liberia,2017,148,3.5329999923706095
148,Guinea,2017,149,3.50699996948242
149,Togo,2017,150,3.4949998855590803
150,Rwanda,2017,151,3.47099995613098
151,Syria,2017,152,3.46199989318848
152,Tanzania,2017,153,3.34899997711182
153,Burundi,2017,154,2.90499997138977
154,Central African Republic,2017,155,2.69300007820129
