,Country,Year,Happiness Rank,Happiness Score
123,Congo (Brazzaville),2017,124,4.29099988937378
126,Congo (Brazzaville),2016,127,4.236000000000001
125,Congo (Kinshasa),2017,126,4.2800002098083505
131,Congo (Kinshasa),2018,132,4.245
119,Congo (Kinshasa),2015,120,4.5169999999999995
124,Congo (Kinshasa),2016,125,4.272
12,Costa Rica,2018,13,7.072
11,Costa Rica,2017,12,7.0789999961853
13,Costa Rica,2016,14,7.087000000000001
11,Costa Rica,2015,12,7.226
61,Croatia,2015,62,5.7589999999999995
81,Croatia,2018,82,5.321000000000001
73,Croatia,2016,74,5.4879999999999995
76,Croatia,2017,77,5.2930002212524405
60,Cyprus,2018,61,5.7620000000000005
64,Cyprus,2017,65,5.62099981307983
66,Cyprus,2015,67,5.689
68,Cyprus,2016,69,5.546
22,Czech Republic,2017,23,6.60900020599365
26,Czech Republic,2016,27,6.596
30,Czech Republic,2015,31,6.505
20,Czech Republic,2018,21,6.711
0,Denmark,2016,1,7.526
2,Denmark,2015,3,7.527
1,Denmark,2017,2,7.52199983596802
2,Denmark,2018,3,7.555
125,Djibouti,2015,126,4.369
88,Dominican Republic,2016,89,5.155
82,Dominican Republic,2018,83,5.3020000000000005
85,Dominican Republic,2017,86,5.230000019073491
97,Dominican Republic,2015,98,4.885
43,Ecuador,2017,44,6.00799989700317
47,Ecuador,2018,48,5.973
47,Ecuador,2015,48,5.975
50,Ecuador,2016,51,5.976
119,Egypt,2016,120,4.362
134,Egypt,2015,135,4.194
103,Egypt,2017,104,4.7350001335144
121,Egypt,2018,122,4.419
41,El Salvador,2015,42,6.13
39,El Salvador,2018,40,6.167000000000001
44,El Salvador,2017,45,6.002999782562259
45,El Salvador,2016,46,6.068
71,Estonia,2016,72,5.517
62,Estonia,2018,63,5.739
65,Estonia,2017,66,5.61100006103516
72,Estonia,2015,73,5.428999999999999
114,Ethiopia,2016,115,4.508
126,Ethiopia,2018,127,4.35
118,Ethiopia,2017,119,4.46000003814697
121,Ethiopia,2015,122,4.512
4,Finland,2017,5,7.468999862670901
0,Finland,2018,1,7.632000000000001
5,Finland,2015,6,7.406000000000001
4,Finland,2016,5,7.412999999999999
28,France,2015,29,6.575
31,France,2016,32,6.478
30,France,2017,31,6.44199991226196
22,France,2018,23,6.489
142,Gabon,2015,143,3.8960000000000004
133,Gabon,2016,134,4.121
117,Gabon,2017,118,4.46500015258789
102,Gabon,2018,103,4.758
125,Georgia,2016,126,4.252
129,Georgia,2015,130,4.297
124,Georgia,2017,125,4.28599977493286
127,Georgia,2018,128,4.34
14,Germany,2018,15,6.965
15,Germany,2016,16,6.994
15,Germany,2017,16,6.9510002136230495
25,Germany,2015,26,6.75
130,Ghana,2017,131,4.11999988555908
123,Ghana,2016,124,4.276
113,Ghana,2015,114,4.633
107,Ghana,2018,108,4.657
86,Greece,2017,87,5.2270002365112305
98,Greece,2016,99,5.033
101,Greece,2015,102,4.857
78,Greece,2018,79,5.358
42,Guatemala,2015,43,6.122999999999999
38,Guatemala,2016,39,6.324
28,Guatemala,2017,29,6.4539999961853
29,Guatemala,2018,30,6.382000000000001
148,Guinea,2017,149,3.50699996948242
149,Guinea,2015,150,3.656
139,Guinea,2018,140,3.964
150,Guinea,2016,151,3.6069999999999998
147,Haiti,2018,148,3.582
144,Haiti,2017,145,3.6029999256133998
118,Haiti,2015,119,4.518
135,Haiti,2016,136,4.0280000000000005
90,Honduras,2017,91,5.1810002326965305
103,Honduras,2016,104,4.871
71,Honduras,2018,72,5.504
104,Honduras,2015,105,4.788
74,Hong Kong,2016,75,5.457999999999999
71,Hong Kong,2015,72,5.474
75,Hong Kong,2018,76,5.43
70,"Hong Kong S.A.R., China",2017,71,5.47200012207031
74,Hungary,2017,75,5.32399988174438
68,Hungary,2018,69,5.62
103,Hungary,2015,104,4.8
90,Hungary,2016,91,5.145
1,Iceland,2015,2,7.561
2,Iceland,2016,3,7.501
3,Iceland,2018,4,7.495
2,Iceland,2017,3,7.50400018692017
132,India,2018,133,4.19
121,India,2017,122,4.31500005722046
116,India,2015,117,4.565
117,India,2016,118,4.404
73,Indonesia,2015,74,5.399
78,Indonesia,2016,79,5.314
95,Indonesia,2018,96,5.093
80,Indonesia,2017,81,5.26200008392334
107,Iran,2017,108,4.69199991226196
104,Iran,2016,105,4.813
109,Iran,2015,110,4.686
105,Iran,2018,106,4.707
116,Iraq,2017,117,4.49700021743774
111,Iraq,2015,112,4.677
116,Iraq,2018,117,4.456
111,Iraq,2016,112,4.575
14,Ireland,2017,15,6.9770002365112305
18,Ireland,2016,19,6.907
13,Ireland,2018,14,6.977
17,Ireland,2015,18,6.94
18,Israel,2018,19,6.814
10,Israel,2017,11,7.212999820709231
10,Israel,2016,11,7.267
10,Israel,2015,11,7.278
47,Italy,2017,48,5.96400022506714
49,Italy,2016,50,5.977
46,Italy,2018,47,6.0
49,Italy,2015,50,5.9479999999999995
150,Ivory Coast,2015,151,3.655
106,Ivory Coast,2018,107,4.671
127,Ivory Coast,2017,128,4.17999982833862
138,Ivory Coast,2016,139,3.9160000000000004
72,Jamaica,2016,73,5.51
64,Jamaica,2015,65,5.709
75,Jamaica,2017,76,5.31099987030029
55,Jamaica,2018,56,5.89
50,Japan,2017,51,5.92000007629395
52,Japan,2016,53,5.921
53,Japan,2018,54,5.915
45,Japan,2015,46,5.987
81,Jordan,2015,82,5.192
79,Jordan,2016,80,5.303
73,Jordan,2017,74,5.33599996566772
89,Jordan,2018,90,5.1610000000000005
59,Kazakhstan,2018,60,5.79
53,Kazakhstan,2016,54,5.919
59,Kazakhstan,2017,60,5.8189997673034695
53,Kazakhstan,2015,54,5.855
121,Kenya,2016,122,4.356
111,Kenya,2017,112,4.55299997329712
123,Kenya,2018,124,4.41
124,Kenya,2015,125,4.419
65,Kosovo,2018,66,5.662000000000001
76,Kosovo,2016,77,5.401
68,Kosovo,2015,69,5.5889999999999995
77,Kosovo,2017,78,5.27899980545044
40,Kuwait,2016,41,6.239
44,Kuwait,2018,45,6.082999999999999
38,Kuwait,2017,39,6.10500001907349
38,Kuwait,2015,39,6.295
91,Kyrgyzstan,2018,92,5.131
76,Kyrgyzstan,2015,77,5.2860000000000005
84,Kyrgyzstan,2016,85,5.185
97,Kyrgyzstan,2017,98,5.0040001869201705
109,Laos,2018,110,4.623
98,Laos,2015,99,4.876
101,Laos,2016,102,4.876
88,Latvia,2015,89,5.098
53,Latvia,2017,54,5.849999904632571
67,Latvia,2016,68,5.56
52,Latvia,2018,53,5.933
87,Lebanon,2017,88,5.22499990463257
79,Lebanon,2018,80,5.358
102,Lebanon,2015,103,4.8389999999999995
92,Lebanon,2016,93,5.129
96,Lesotho,2015,97,4.898
138,Lesotho,2017,139,3.80800008773804
140,Lesotho,2018,141,3.8080000000000003
149,Liberia,2016,150,3.622
115,Liberia,2015,116,4.571000000000001
147,Liberia,2017,148,3.5329999923706095
148,Liberia,2018,149,3.495
69,Libya,2018,70,5.566
62,Libya,2015,63,5.754
66,Libya,2016,67,5.615
67,Libya,2017,68,5.525000095367429
55,Lithuania,2015,56,5.832999999999999
59,Lithuania,2016,60,5.813
49,Lithuania,2018,50,5.952000000000001
51,Lithuania,2017,52,5.90199995040894
16,Luxembourg,2015,17,6.946000000000001
17,Luxembourg,2017,18,6.86299991607666
19,Luxembourg,2016,20,6.871
16,Luxembourg,2018,17,6.91
88,Macedonia,2018,89,5.185
91,Macedonia,2017,92,5.175000190734861
92,Macedonia,2015,93,5.007
94,Macedonia,2016,95,5.121
146,Madagascar,2015,147,3.681
143,Madagascar,2017,144,3.64400005340576
147,Madagascar,2016,148,3.695
142,Madagascar,2018,143,3.7739999999999996
146,Malawi,2018,147,3.5869999999999997
130,Malawi,2015,131,4.292
131,Malawi,2016,132,4.156000000000001
135,Malawi,2017,136,3.97000002861023
46,Malaysia,2016,47,6.005
41,Malaysia,2017,42,6.08400011062622
60,Malaysia,2015,61,5.77
34,Malaysia,2018,35,6.322
134,Mali,2016,135,4.073
126,Mali,2017,127,4.19000005722046
117,Mali,2018,118,4.447
137,Mali,2015,138,3.995
29,Malta,2016,30,6.4879999999999995
36,Malta,2015,37,6.3020000000000005
26,Malta,2017,27,6.52699995040894
21,Malta,2018,22,6.627000000000001
129,Mauritania,2016,130,4.2010000000000005
125,Mauritania,2018,126,4.356
123,Mauritania,2015,124,4.436
122,Mauritania,2017,123,4.29199981689453
63,Mauritius,2017,64,5.62900018692017
65,Mauritius,2016,66,5.648
54,Mauritius,2018,55,5.891
70,Mauritius,2015,71,5.477
24,Mexico,2017,25,6.57800006866455
20,Mexico,2016,21,6.778
13,Mexico,2015,14,7.187
23,Mexico,2018,24,6.4879999999999995
51,Moldova,2015,52,5.888999999999999
66,Moldova,2018,67,5.64
55,Moldova,2017,56,5.837999820709231
54,Moldova,2016,55,5.897
93,Mongolia,2018,94,5.125
99,Mongolia,2015,100,4.874
99,Mongolia,2017,100,4.95499992370605
100,Mongolia,2016,101,4.907
87,Montenegro,2016,88,5.1610000000000005
82,Montenegro,2017,83,5.23699998855591
80,Montenegro,2018,81,5.347
82,Montenegro,2015,82,5.192
83,Morocco,2017,84,5.2350001335144
91,Morocco,2015,92,5.013
89,Morocco,2016,90,5.151
84,Morocco,2018,85,5.254
122,Mozambique,2018,123,4.417
93,Mozambique,2015,94,4.971
112,Mozambique,2017,113,4.550000190734861
118,Myanmar,2016,119,4.395
128,Myanmar,2015,129,4.3069999999999995
129,Myanmar,2018,130,4.308
113,Myanmar,2017,114,4.54500007629395
110,Namibia,2017,111,4.57399988174438
118,Namibia,2018,119,4.441
112,Namibia,2016,113,4.574
98,Nepal,2017,99,4.961999893188481
120,Nepal,2015,121,4.513999999999999
106,Nepal,2016,107,4.793
100,Nepal,2018,101,4.88
5,Netherlands,2018,6,7.441
5,Netherlands,2017,6,7.3769998550415
6,Netherlands,2016,7,7.3389999999999995
6,Netherlands,2015,7,7.377999999999999
8,New Zealand,2015,9,7.2860000000000005
7,New Zealand,2017,8,7.31400012969971
7,New Zealand,2018,8,7.324
7,New Zealand,2016,8,7.334
47,Nicaragua,2016,48,5.992000000000001
40,Nicaragua,2018,41,6.141
56,Nicaragua,2015,57,5.827999999999999
42,Nicaragua,2017,43,6.07100009918213
133,Niger,2018,134,4.166
134,Niger,2017,135,4.02799987792969
143,Niger,2015,144,3.845
141,Niger,2016,142,3.8560000000000003
94,Nigeria,2017,95,5.07399988174438
90,Nigeria,2018,91,5.155
102,Nigeria,2016,103,4.875
77,Nigeria,2015,78,5.268
60,North Cyprus,2017,61,5.80999994277954
61,North Cyprus,2016,62,5.771
65,North Cyprus,2015,66,5.695
57,Northern Cyprus,2018,58,5.835
3,Norway,2015,4,7.522
3,Norway,2016,4,7.497999999999999
0,Norway,2017,1,7.537000179290769
1,Norway,2018,2,7.593999999999999
21,Oman,2015,22,6.853
91,Pakistan,2016,92,5.132000000000001
74,Pakistan,2018,75,5.472
80,Pakistan,2015,81,5.194
79,Pakistan,2017,80,5.26900005340576
107,Palestinian Territories,2016,108,4.754
103,Palestinian Territories,2018,104,4.743
107,Palestinian Territories,2015,108,4.715
102,Palestinian Territories,2017,103,4.77500009536743
24,Panama,2015,25,6.7860000000000005
29,Panama,2017,30,6.4520001411438
26,Panama,2018,27,6.43
24,Panama,2016,25,6.7010000000000005
69,Paraguay,2017,70,5.493000030517581
52,Paraguay,2015,53,5.877999999999999
63,Paraguay,2018,64,5.681
69,Paraguay,2016,70,5.537999999999999
57,Peru,2015,58,5.824
63,Peru,2016,64,5.742999999999999
64,Peru,2018,65,5.662999999999999
62,Peru,2017,63,5.71500015258789
71,Philippines,2017,72,5.42999982833862
70,Philippines,2018,71,5.524
89,Philippines,2015,90,5.073
81,Philippines,2016,82,5.279
41,Poland,2018,42,6.122999999999999
59,Poland,2015,60,5.791
45,Poland,2017,46,5.97300004959106
56,Poland,2016,57,5.835
87,Portugal,2015,88,5.102
88,Portugal,2017,89,5.19500017166138
93,Portugal,2016,94,5.122999999999999
76,Portugal,2018,77,5.41
14,Puerto Rico,2016,15,7.039
31,Qatar,2018,32,6.374
35,Qatar,2016,36,6.375
34,Qatar,2017,35,6.375
27,Qatar,2015,28,6.611000000000001
51,Romania,2018,52,5.945
85,Romania,2015,86,5.124
70,Romania,2016,71,5.528
56,Romania,2017,57,5.824999809265139
55,Russia,2016,56,5.856
58,Russia,2018,59,5.81
63,Russia,2015,64,5.716
48,Russia,2017,49,5.962999820709231
151,Rwanda,2016,152,3.515
153,Rwanda,2015,154,3.465
150,Rwanda,2017,151,3.47099995613098
150,Rwanda,2018,151,3.408
36,Saudi Arabia,2017,37,6.343999862670901
33,Saudi Arabia,2016,34,6.379
34,Saudi Arabia,2015,35,6.4110000000000005
32,Saudi Arabia,2018,33,6.371
141,Senegal,2015,142,3.904
127,Senegal,2016,128,4.218999999999999
114,Senegal,2017,115,4.53499984741211
108,Senegal,2018,109,4.631
77,Serbia,2018,78,5.398
72,Serbia,2017,73,5.39499998092651
85,Serbia,2016,86,5.1770000000000005
86,Serbia,2015,87,5.122999999999999
122,Sierra Leone,2015,123,4.507
110,Sierra Leone,2016,111,4.635
105,Sierra Leone,2017,106,4.70900011062622
112,Sierra Leone,2018,113,4.571000000000001
25,Singapore,2017,26,6.57200002670288
21,Singapore,2016,22,6.739
23,Singapore,2015,24,6.797999999999999
33,Singapore,2018,34,6.343
44,Slovakia,2015,45,5.995
39,Slovakia,2017,40,6.09800004959106
44,Slovakia,2016,45,6.077999999999999
38,Slovakia,2018,39,6.172999999999999
50,Slovenia,2018,51,5.9479999999999995
62,Slovenia,2016,63,5.768
61,Slovenia,2017,62,5.75799989700317
54,Slovenia,2015,55,5.848
97,Somalia,2018,98,4.982
92,Somalia,2017,93,5.151000022888179
75,Somalia,2016,76,5.44
96,Somaliland Region,2016,97,5.0569999999999995
90,Somaliland region,2015,91,5.0569999999999995
100,South Africa,2017,101,4.8289999961853
112,South Africa,2015,113,4.6419999999999995
104,South Africa,2018,105,4.724
115,South Africa,2016,116,4.459
56,South Korea,2018,57,5.875
46,South Korea,2015,47,5.984
57,South Korea,2016,57,5.835
54,South Korea,2017,55,5.837999820709231
153,South Sudan,2018,154,3.2539999999999996
146,South Sudan,2017,147,3.5910000801086404
142,South Sudan,2016,143,3.832
35,Spain,2018,36,6.31
36,Spain,2016,37,6.361000000000001
33,Spain,2017,34,6.40299987792969
35,Spain,2015,36,6.329
116,Sri Lanka,2016,117,4.415
131,Sri Lanka,2015,132,4.271
119,Sri Lanka,2017,120,4.44000005722046
115,Sri Lanka,2018,116,4.471
117,Sudan,2015,118,4.55
132,Sudan,2016,133,4.138999999999999
129,Sudan,2017,130,4.138999938964839
136,Sudan,2018,137,4.138999999999999
39,Suriname,2015,40,6.269
39,Suriname,2016,40,6.269
100,Swaziland,2015,101,4.867
8,Sweden,2017,9,7.28399991989136
7,Sweden,2015,8,7.364
9,Sweden,2016,10,7.291
8,Sweden,2018,9,7.314
1,Switzerland,2016,2,7.5089999999999995
0,Switzerland,2015,1,7.587000000000001
3,Switzerland,2017,4,7.49399995803833
4,Switzerland,2018,5,7.487
155,Syria,2016,156,3.069
149,Syria,2018,150,3.4619999999999997
155,Syria,2015,156,3.0060000000000002
151,Syria,2017,152,3.46199989318848
37,Taiwan,2015,38,6.297999999999999
34,Taiwan,2016,34,6.379
25,Taiwan,2018,26,6.441
32,Taiwan Province of China,2017,33,6.42199993133545
99,Tajikistan,2016,100,4.996
95,Tajikistan,2017,96,5.04099988937378
87,Tajikistan,2018,88,5.199
105,Tajikistan,2015,106,4.7860000000000005
152,Tanzania,2017,153,3.34899997711182
148,Tanzania,2016,149,3.6660000000000004
145,Tanzania,2015,146,3.781
152,Tanzania,2018,153,3.303
31,Thailand,2017,32,6.4239997863769505
32,Thailand,2016,33,6.474
33,Thailand,2015,34,6.455
45,Thailand,2018,46,6.072
154,Togo,2016,155,3.303
157,Togo,2015,158,2.839
138,Togo,2018,139,3.9989999999999997
149,Togo,2017,150,3.4949998855590803
37,Trinidad & Tobago,2018,38,6.192
40,Trinidad and Tobago,2015,41,6.167999999999999
42,Trinidad and Tobago,2016,43,6.167999999999999
37,Trinidad and Tobago,2017,38,6.1680002212524405
101,Tunisia,2017,102,4.80499982833862
110,Tunisia,2018,111,4.592
97,Tunisia,2016,98,5.045
106,Tunisia,2015,107,4.739
73,Turkey,2018,74,5.483
75,Turkey,2015,76,5.332000000000001
68,Turkey,2017,69,5.5
77,Turkey,2016,78,5.388999999999999
64,Turkmenistan,2016,65,5.6579999999999995
69,Turkmenistan,2015,70,5.547999999999999
58,Turkmenistan,2017,59,5.82200002670288
67,Turkmenistan,2018,68,5.636
134,Uganda,2018,135,4.1610000000000005
140,Uganda,2015,141,3.931
145,Uganda,2016,145,3.739
132,Uganda,2017,133,4.08099985122681
122,Ukraine,2016,123,4.324
110,Ukraine,2015,111,4.681
137,Ukraine,2018,138,4.103
131,Ukraine,2017,132,4.09600019454956
27,United Arab Emirates,2016,28,6.5729999999999995
20,United Arab Emirates,2017,21,6.6479997634887695
19,United Arab Emirates,2015,20,6.901
19,United Arab Emirates,2018,20,6.774
22,United Kingdom,2016,23,6.725
20,United Kingdom,2015,21,6.867000000000001
18,United Kingdom,2017,19,6.71400022506714
10,United Kingdom,2018,11,7.19
13,United States,2017,14,6.993000030517581
17,United States,2018,18,6.886
14,United States,2015,15,7.119
12,United States,2016,13,7.104
27,Uruguay,2017,28,6.4539999961853
31,Uruguay,2015,32,6.485
28,Uruguay,2016,29,6.545
30,Uruguay,2018,31,6.379
48,Uzbekistan,2016,49,5.987
43,Uzbekistan,2015,44,6.002999999999999
46,Uzbekistan,2017,47,5.97100019454956
43,Uzbekistan,2018,44,6.096
101,Venezuela,2018,102,4.806
81,Venezuela,2017,82,5.25
43,Venezuela,2016,44,6.084
22,Venezuela,2015,23,6.81
95,Vietnam,2016,96,5.061
94,Vietnam,2018,95,5.103
93,Vietnam,2017,94,5.07399988174438
74,Vietnam,2015,75,5.36
146,Yemen,2016,147,3.7239999999999998
135,Yemen,2015,136,4.077
145,Yemen,2017,146,3.59299993515015
151,Yemen,2018,152,3.355
124,Zambia,2018,125,4.377
115,Zambia,2017,116,4.513999938964839
84,Zambia,2015,85,5.129
105,Zambia,2016,106,4.795
143,Zimbabwe,2018,144,3.6919999999999997
137,Zimbabwe,2017,138,3.875
130,Zimbabwe,2016,131,4.1930000000000005
114,Zimbabwe,2015,115,4.61
