,Country,Year,Happiness Rank,Happiness Score
114,Ethiopia,2016,115,4.508
115,South Africa,2016,116,4.459
116,Sri Lanka,2016,117,4.415
117,India,2016,118,4.404
118,Myanmar,2016,119,4.395
119,Egypt,2016,120,4.362
120,Armenia,2016,121,4.36
121,Kenya,2016,122,4.356
122,Ukraine,2016,123,4.324
123,Ghana,2016,124,4.276
124,Congo (Kinshasa),2016,125,4.272
125,Georgia,2016,126,4.252
126,Congo (Brazzaville),2016,127,4.236000000000001
127,Senegal,2016,128,4.218999999999999
128,Bulgaria,2016,129,4.217
129,Mauritania,2016,130,4.2010000000000005
130,Zimbabwe,2016,131,4.1930000000000005
131,Malawi,2016,132,4.156000000000001
132,Sudan,2016,133,4.138999999999999
133,Gabon,2016,134,4.121
134,Mali,2016,135,4.073
135,Haiti,2016,136,4.0280000000000005
136,Botswana,2016,137,3.9739999999999998
137,Comoros,2016,138,3.9560000000000004
138,Ivory Coast,2016,139,3.9160000000000004
139,Cambodia,2016,140,3.907
140,Angola,2016,141,3.866
141,Niger,2016,142,3.8560000000000003
142,South Sudan,2016,143,3.832
143,Chad,2016,144,3.763
144,Burkina Faso,2016,145,3.739
145,Uganda,2016,145,3.739
146,Yemen,2016,147,3.7239999999999998
147,Madagascar,2016,148,3.695
148,Tanzania,2016,149,3.6660000000000004
149,Liberia,2016,150,3.622
150,Guinea,2016,151,3.6069999999999998
151,Rwanda,2016,152,3.515
152,Benin,2016,153,3.484
153,Afghanistan,2016,154,3.36
154,Togo,2016,155,3.303
155,Syria,2016,156,3.069
156,Burundi,2016,157,2.905
